,Make,Model,Number.of.Engines,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,counter,total_pop,fatality_perc,injury_perc,uninjured_perc
196,Diamond,DA 20 C1,1.0,0.0,0.0,0.0,15.0,10,15.0,0.0,0.0,100.0
69,Boeing,737-800,-99.0,0.0,0.0,2.0,1514.0,20,1516.0,0.0,0.13192612137203166,99.86807387862797
17,Airbus,A321,2.0,0.0,0.0,2.0,1344.0,10,1346.0,0.0,0.1485884101040119,99.85141158989599
78,Boeing,787,-99.0,0.0,1.0,2.0,1684.0,21,1687.0,0.0,0.17783046828689983,99.8221695317131
73,Boeing,757,2.0,0.0,1.0,3.0,1789.0,18,1793.0,0.0,0.2230897936419409,99.77691020635805
77,Boeing,777,2.0,0.0,1.0,1.0,875.0,11,877.0,0.0,0.22805017103762829,99.77194982896236
71,Boeing,747,4.0,2.0,0.0,0.0,769.0,11,771.0,0.25940337224383914,0.0,99.74059662775616
72,Boeing,757,-99.0,0.0,4.0,0.0,1287.0,17,1291.0,0.0,0.3098373353989156,99.69016266460109
16,Airbus,A320,2.0,0.0,0.0,4.0,1161.0,32,1165.0,0.0,0.34334763948497854,99.65665236051503
76,Boeing,777,-99.0,0.0,23.0,14.0,6301.0,63,6338.0,0.0,0.5837803723572105,99.41621962764279
19,Airbus,A330,2.0,0.0,10.0,0.0,1507.0,13,1517.0,0.0,0.6591957811470006,99.340804218853
70,Boeing,747,-99.0,4.0,0.0,0.0,426.0,35,430.0,0.9302325581395349,0.0,99.06976744186046
18,Airbus,A330,-99.0,0.0,9.0,1.0,967.0,12,977.0,0.0,1.023541453428864,98.97645854657114
74,Boeing,767,-99.0,0.0,25.0,3.0,1743.0,25,1771.0,0.0,1.5810276679841897,98.41897233201581
75,Boeing,767,2.0,3.0,32.0,12.0,2020.0,19,2067.0,0.14513788098693758,2.1286889211417512,97.72617319787132
67,Boeing,737,2.0,134.0,18.0,12.0,6224.0,72,6388.0,2.097683155917345,0.469630557294928,97.43268628678773
66,Boeing,737,-99.0,893.0,260.0,45.0,14888.0,346,16086.0,5.551411164988188,1.8960586845704337,92.55253015044138
68,Boeing,737 7H4,2.0,1.0,133.0,15.0,1704.0,16,1853.0,0.053966540744738264,7.9870480302212625,91.958985429034
116,Cessna,180H,1.0,0.0,4.0,0.0,41.0,23,45.0,0.0,8.88888888888889,91.11111111111111
117,Cessna,180J,1.0,0.0,1.0,2.0,28.0,19,31.0,0.0,9.67741935483871,90.32258064516128
200,Embraer,ERJ190,-99.0,0.0,26.0,16.0,359.0,14,401.0,0.0,10.473815461346634,89.52618453865337
234,Piper,PA 22,1.0,0.0,2.0,0.0,17.0,13,19.0,0.0,10.526315789473683,89.47368421052632
109,Cessna,172RG,1.0,3.0,2.0,1.0,49.0,30,55.0,5.454545454545454,5.454545454545454,89.0909090909091
239,Piper,PA 28-161,1.0,0.0,1.0,2.0,24.0,13,27.0,0.0,11.11111111111111,88.88888888888889
312,Sikorsky,S92,-99.0,7.0,0.0,1.0,64.0,12,72.0,9.722222222222223,1.3888888888888888,88.88888888888889
15,Airbus,A320,-99.0,163.0,6.0,4.0,1375.0,41,1548.0,10.529715762273902,0.6459948320413437,88.82428940568475
161,Cessna,560XL,2.0,7.0,0.0,0.0,55.0,14,62.0,11.29032258064516,0.0,88.70967741935483
231,Piper,PA 12,1.0,2.0,3.0,2.0,51.0,37,58.0,3.4482758620689653,8.620689655172415,87.93103448275862
30,Beech,36,1.0,1.0,1.0,2.0,28.0,20,32.0,3.125,9.375,87.5
134,Cessna,195,1.0,0.0,4.0,1.0,35.0,20,40.0,0.0,12.5,87.5
152,Cessna,402,2.0,0.0,7.0,0.0,48.0,17,55.0,0.0,12.727272727272727,87.27272727272727
164,Cessna,A185F,1.0,11.0,5.0,0.0,103.0,57,119.0,9.243697478991598,4.201680672268908,86.5546218487395
163,Cessna,A185,1.0,2.0,7.0,5.0,89.0,55,103.0,1.9417475728155338,11.650485436893204,86.40776699029125
135,Cessna,195A,1.0,1.0,2.0,0.0,18.0,10,21.0,4.761904761904762,9.523809523809524,85.71428571428571
276,Piper,PA-44-180,2.0,3.0,2.0,0.0,27.0,15,32.0,9.375,6.25,84.375
132,Cessna,185,1.0,5.0,2.0,0.0,35.0,21,42.0,11.904761904761903,4.761904761904762,83.33333333333334
115,Cessna,180,1.0,13.0,19.0,12.0,213.0,143,257.0,5.058365758754864,12.062256809338521,82.87937743190662
146,Cessna,305,1.0,2.0,2.0,0.0,19.0,15,23.0,8.695652173913043,8.695652173913043,82.6086956521739
205,Evektor-Aerotechnik As,SPORTSTAR,1.0,0.0,1.0,2.0,14.0,14,17.0,0.0,17.647058823529413,82.35294117647058
20,American Legend Aircraft Co,AL3,1.0,0.0,1.0,2.0,13.0,12,16.0,0.0,18.75,81.25
95,Cessna,170A,1.0,1.0,3.0,2.0,25.0,22,31.0,3.225806451612903,16.129032258064516,80.64516129032258
