,Make,Model,Number.of.Engines,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,counter,total_pop,fatality_perc,injury_perc,uninjured_perc,counter_pop
15,Airbus,A320,-99.0,163.0,6.0,4.0,1375.0,41,1548.0,10.529715762273902,0.6459948320413437,88.82428940568475,37.75609756097561
16,Airbus,A320,2.0,0.0,0.0,4.0,1161.0,32,1165.0,0.0,0.34334763948497854,99.65665236051503,36.40625
17,Airbus,A321,2.0,0.0,0.0,2.0,1344.0,10,1346.0,0.0,0.1485884101040119,99.85141158989599,134.6
18,Airbus,A330,-99.0,0.0,9.0,1.0,967.0,12,977.0,0.0,1.023541453428864,98.97645854657114,81.41666666666667
19,Airbus,A330,2.0,0.0,10.0,0.0,1507.0,13,1517.0,0.0,0.6591957811470006,99.340804218853,116.6923076923077
26,Beech,200,2.0,12.0,3.0,2.0,58.0,20,75.0,16.0,6.666666666666667,77.33333333333333,3.75
28,Beech,35,-99.0,9.0,5.0,4.0,8.0,11,26.0,34.61538461538461,34.61538461538461,30.76923076923077,2.3636363636363638
29,Beech,35,1.0,5.0,16.0,9.0,40.0,34,70.0,7.142857142857142,35.714285714285715,57.14285714285714,2.0588235294117645
31,Beech,58,-99.0,30.0,1.0,3.0,4.0,13,38.0,78.94736842105263,10.526315789473683,10.526315789473683,2.923076923076923
32,Beech,58,2.0,39.0,7.0,1.0,52.0,45,99.0,39.39393939393939,8.080808080808081,52.52525252525253,2.2
33,Beech,76,2.0,3.0,2.0,9.0,31.0,20,45.0,6.666666666666667,24.444444444444443,68.88888888888889,2.25
36,Beech,A36,-99.0,14.0,3.0,7.0,8.0,14,32.0,43.75,31.25,25.0,2.2857142857142856
37,Beech,A36,1.0,58.0,24.0,28.0,98.0,98,208.0,27.884615384615387,25.0,47.11538461538461,2.122448979591837
38,Beech,A36TC,1.0,20.0,10.0,3.0,13.0,17,46.0,43.47826086956522,28.26086956521739,28.26086956521739,2.7058823529411766
39,Beech,B19,1.0,0.0,2.0,3.0,17.0,10,22.0,0.0,22.727272727272727,77.27272727272727,2.2
40,Beech,B200,2.0,17.0,15.0,3.0,19.0,10,54.0,31.48148148148148,33.33333333333333,35.18518518518518,5.4
41,Beech,B36TC,1.0,17.0,3.0,0.0,6.0,12,26.0,65.38461538461539,11.538461538461538,23.076923076923077,2.1666666666666665
43,Beech,C90,-99.0,24.0,0.0,1.0,11.0,11,36.0,66.66666666666666,2.7777777777777777,30.555555555555557,3.272727272727273
44,Beech,C90,2.0,8.0,2.0,2.0,23.0,15,35.0,22.857142857142858,11.428571428571429,65.71428571428571,2.3333333333333335
45,Beech,F33,1.0,10.0,0.0,0.0,13.0,10,23.0,43.47826086956522,0.0,56.52173913043478,2.3
51,Bell,206,-99.0,53.0,7.0,19.0,39.0,50,118.0,44.91525423728814,22.033898305084744,33.05084745762712,2.36
52,Bell,206,1.0,51.0,37.0,7.0,79.0,77,174.0,29.310344827586203,25.287356321839084,45.40229885057471,2.25974025974026
54,Bell,206L-1,1.0,3.0,3.0,2.0,16.0,10,24.0,12.5,20.833333333333336,66.66666666666666,2.4
